COD_LOC,32797,0,5646,Z001651,0,15,1
NOMBRE_LOC,32797,0,6701,�vila El Boulevard,"1001 - C/ Maestro Aguilar, n� 25",52,2
CP,32797.0,0,1797,99999,0,5,1
POBLACION,32716,81,2029,�viles- Asturias,--,41,2
OFICINA,32797,0,13,SGS,901,3,3
PROVINCIA,32797,0,53,ZARAGOZA,A CORU�A,22,4
COD_PROY,32797,0,223,ZOUK,0001_077,14,2
ID_EVALUACION,32797.0,0,32797,2016756,1938117,7,7
Fecha de ejecucion,32796,1,188,nan,01/01/2014,10,3
COD_AUDITOR,32797,0,1169,test,10,10,1
RESULTADO,32797,0,4205,1,0,6,1
TITULO_CUESTIONARIO,32797,0,439,prueba,ABBASID MYSTERY,50,5
