ID_EVALUACION,CODIGO_AUDITOR,COD_PROY,Fecha de ejecucion,RESULTADO,TITULO_CUESTIONARIO
1938117,R29407,0267_001,16/01/2014,"0,9513",Nuevo cuestionario Mucha's
1938118,33466,0267_001,10/01/2014,"0,8351",Nuevo cuestionario Mucha's
1938119,29100,0267_001,10/01/2014,"0,8958",Nuevo cuestionario Mucha's
1938120,34161,0267_001,21/01/2014,"0,7625",Nuevo cuestionario Mucha's
1938121,34161,0267_001,23/01/2014,"0,6069",Nuevo cuestionario Mucha's
1938122,R00004,0267_001,22/01/2014,"0,5078",Nuevo cuestionario Mucha's
1938123,29100,0267_001,10/01/2014,"0,8891",Nuevo cuestionario Mucha's
1938124,33900,0267_001,20/01/2014,"0,8395",Nuevo cuestionario Mucha's
1944559,149,0377_001,13/01/2014,"0,7176",Vueling_Mystery Passenger 2013
1944560,149,0377_001,13/01/2014,"0,6805",Vueling_Mystery Passenger 2013
1944561,2299,0377_001,07/01/2014,"0,8351",Vueling_Mystery Passenger 2013
1944562,2299,0377_001,07/01/2014,"0,8125",Vueling_Mystery Passenger 2013
1944563,29667,0377_001,23/01/2014,"0,8596",Vueling_Mystery Passenger 2013
1944564,29667,0377_001,26/01/2014,"0,8228",Vueling_Mystery Passenger 2013
1944565,149,0377_001,24/01/2014,"0,7748",Vueling_Mystery Passenger 2013
1944566,149,0377_001,24/01/2014,"0,8178",Vueling_Mystery Passenger 2013
1944567,33663,0377_001,30/01/2014,"0,8444",Vueling_Mystery Passenger 2013
1944568,33663,0377_001,30/01/2014,"0,891",Vueling_Mystery Passenger 2013
1944569,33663,0377_001,29/01/2014,"0,8853",Vueling_Mystery Passenger 2013
1944570,33663,0377_001,29/01/2014,"0,8972",Vueling_Mystery Passenger 2013
1944800,2299,0377_001,15/01/2014,"0,8465",Vueling_Mystery Passenger 2013
1944802,2299,0377_001,15/01/2014,"0,9158",Vueling_Mystery Passenger 2013
1945178,c_heras,IKEA_HM,16/01/2014,"0,931",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945179,MAIDER_L,IKEA_HM,29/01/2014,"0,951",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945180,M_CASTANO,IKEA_HM,15/01/2014,"0,945",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945181,M_CASTANO,IKEA_HM,20/01/2014,"0,945",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945182,c_heras,IKEA_HM,21/01/2014,"0,949",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
