CODIGO_LOCAL,NOMBRE_LOCAL,CP
12,MUCHAS BOIRO,15930
17,MUCHAS CARBALLI�O,32500
21,MUCHAS BUEU,36930
31,MUCHAS VIGO I,36202
34,MUCHAS REDONDELA,36800
37,MUCHAS VIGO II,36210
38,MUCHAS PONTEVEDRA II,36001
8,MUCHAS �RDENES,15680
21,BCN-ROMA,8000
22,ROMA-BCN,8000
35,BARCELONA- FLORENCIA,8000
36,FLORENCIA - BARCELONA,8000
67,BARCELONA -LONDRES,8000
68,LONDRES-BARCELONA,8000
73,BARCELONA -MADRID,8000
74,MADRID-BARCELONA,8000
75,BARCELONA - MILAN,8000
76,MILAN - BARCELONA,8000
77,BARCELONA- LISBOA,8000
78,LISBOA- BARCELONA,8000
29,BCN-LA CORU�A,8000
30,LA CORU�A-BCN,8000
HM_300,IKEA ALCORCON,28925
HM_301,IKEA ASTURIAS,33429
HM_302,IKEA BADALONA,8917
HM_303,IKEA HOSPITALET,8907
HM_304,IKEA MADRID ESTE,28051
HM_305,IKEA MALAGA,29004
HM_306,IKEA MURCIA,30110
HM_307,IKEA SEVILLA,41950
HM_308,IKEA SAN SEBASTI�N DE LOS REYES,28700
HM_309,IKEA ZARAGOZA,50007
HM_310,IKEA JEREZ,11408
HM_311,IKEA A CORU�A,15008
HM_312,IKEA VALLADOLID,47195
HM_313,IKEA SABADELL,8205
HM_314,IKEA BARAKALDO,48903
1,RESIDENCIA EL MARISCAL,28033
CA1,Hospital Universitario del Sagrado Coraz�n,8029
CA2,Hospital General de Catalu�a,8190
CA3,Cl�nica del Vall�s,8203
CA4,Cl�nica de C. Real,13002
CA5,Hospital Universitario Infanta Elena,28340
CA6,Hospital Rey Juan Carlos,28933
CA7,Fundaci�n Jimenez D�az UTE,28040
0006a,"DITELE SPAIN, S.L.U",46011
100,"FRAN  FUS, S.L.",46800
107,"CENTRE TELEFONIC PAIPORTA, S.L",46200
114,TALLERES CASTILLO FRASES,46160
129,XUQUER TELECOMUNICACIONS,46740
139,"GRUPO BONATEL, S.L.U.",46970
165,"GRUPO BONATEL, S.L.U.",46460
0196a,"LUALBO, S.L",46007
201,COMUNICATEL,46650
207,"GRUPO BONATEL, S.L.U.",46230
0223a,"GRUPO BONATEL, S.L.U.",46440
231,"GRUPO BONATEL, S.L.U.",46450
234,"GRUPO BONATEL, S.L.U.",46130
243,"GRUPO BONATEL, S.L.U.",46470
250,"GRUPO BONATEL, S.L.U.",46700
310,"GRUPO BONATEL, S.L.U.",46370
319,ABOUT LINE S.L.,46760
320,"GRUPO BONATEL, S.L.U.",46340
0322a,"LUALBO, S.L",46930
0331a,"LUALBO, S.L",46900
0333a,"GRUPO LITELFONE ARAG�N, S.L.",44600
0373a,Gesti�n y Asesoramiento Anfavi,46910
0374a,Gesti�n y Asesoramiento Anfavi,46940
382,"GRUPO BONATEL, S.L.U.",12580
0383a,Gesti�n y Asesoramiento Anfavi,46185
401,"GRUPO BONATEL, S.L.U.",46960
0472a,"LUALBO, S.L",46100
569,"GRUPO BONATEL, S.L.U.",12530
589,TONGAS S.L.,46680
624,TALLERES CASTILLO FRASES,46980
651,"GRUPO BONATEL, S.L.U.",46950
0698a,"LUALBO, S.L",46183
711,ABOUT LINE S.L.,46780
0743a,Gesti�n y Asesoramiento Anfavi,46017
746,"GRUPO BONATEL, S.L.U.",46900
748,"GRUPO BONATEL, S.L.U.",12550
793,"LUALBO, S.L",12001
0794a,"LUALBO, S.L",12520
795,"LUALBO, S.L",12200
797,"LUALBO, S.L",46018
805,"LUALBO, S.L",12600
0817a,ABOUT LINE S.L.,46007
850,BROGA-PHONE S.L.,46009
912,BROGA-PHONE S.L.,12001
962,MICHEL RADIO,46520
963,"GALERIAS CULLERA, S.L",46400
964,"GALERIAS CULLERA, S.L",46410
975,"DOBER GESTION, S.L.",46220
997,BROGA-PHONE S.L.,46115
1026,BROGA-PHONE S.L.,46530
998,BROGA-PHONE S.L.,46920
1067,"GRUPO BONATEL, S.L.U.",46500
1532,STAND -- EXPERIS ECI AVDA. DE FRANCIA,46023
1296,"GRUPO BONATEL, S.L.U.",46018
1426,TONGAS S.L.,46023
1504,TONGAS S.L.,46800
1526,STAND -- EXPERIS ECI NUEVO CENTRO,46009
1566,STAND -- EXPERIS ECI PINTOR SOROLLA,46004
1586,STAND -- EXPERIS ECI ADEMUZ,46015
1030,"GRUPO BONATEL, S.L.U.",12540
1414,"LUALBO, S.L",12500
1491,"LUALBO, S.L",12001
1538,STAND -- EXPERIS ECI CASTELL�N,12006
52,VALENCIA - San Vicente M�rtir,46002
53,ALZIRA - Santos Patronos,46600
54,CARCAIXENT - CC Ribera del Xuquer,46740
55,GANDIA - CC La Vital,46700
058a,PATERNA - CC Carrefour,46980
62,CASTELL�N - Independencia,12001
68,ONTINYENT - Albaida,46870
172,TERUEL - Amargura,44001
230,ALFAFAR - CC Albufera,46910
239,VALENCIA - Peset Alexandre,46009
257,Albacete,2002
261,Valencia CC Arena,46019
65,SICOM TELECOMUNIC ALBACETE S.L,3010
90,"DITELE SPAIN, S.L.U",3204
159,INFORMATICA ACCESORIOS Y TELEFONIA,3001
163,CM PHONE ACCESORIES S.L.,3130
176,"LUALBO, S.L",3440
0204a,SICOM TELECOMUNIC ALBACETE S.L,3420
225,CM PHONE ACCESORIES S.L.,3180
229,GARALUT COMUNICACI�N,3003
281,CM PHONE ACCESORIES S.L.,3203
282,"DITELE SPAIN, S.L.U",3330
300,"DITELE SPAIN, S.L.U",3700
327,CM PHONE ACCESORIES S.L.,3600
396,"GRUPO BONATEL, S.L.U.",3730
432,CARMANI TELECOMUNICACIONES,3360
493,"GRUPO MOVIL CONECTATE, S.L",3012
529,"DITELE SPAIN, S.L.U",3140
542,"DITELE SPAIN, S.L.U",3203
556,BFB SERV. Y COMUN. ALBACETE SL,3400
576,SICOM TELECOMUNIC ALBACETE S.L,3690
577,"GRUPO MOVIL CONECTATE, S.L",3560
578,"VODAHOME, S.L.",3581
0594a,SICOM TELECOMUNIC ALBACETE S.L,3300
600,CM PHONE ACCESORIES S.L.,3160
613,CARMANI TELECOMUNICACIONES,3300
617,"GSM BAHIA, S.L.U.",3610
708,"DITELE SPAIN, S.L.U",3760
0726a,"DITELE SPAIN, S.L.U",3503
731,GARALUT COMUNICACI�N,3540
765,"SOCIPHONE, S.L.",3550
791,"LUALBO, S.L",3007
792,"LUALBO, S.L",3600
843,"DITELE SPAIN, S.L.U",3205
852,CM PHONE ACCESORIES S.L.,3590
896,"GRUPO BONATEL, S.L.U.",3700
904,"GRUPO MOVIL CONECTATE, S.L",3201
942,CM PHONE ACCESORIES S.L.,3205
960,BISABIS TELECOMUNICACIONES,3680
976,"SOCIPHONE, S.L.",3010
1012,"SOCIPHONE, S.L.",3710
1034a,SICOM TELECOMUNIC ALBACETE S.L,3005
1178a,"DITELE SPAIN, S.L.U",3803
1420,"DITELE SPAIN, S.L.U",3600
1429,"GRUPO MOVIL CONECTATE, S.L",3660
1437,"SOCIPHONE, S.L.",3008
1547,STAND -- EXPERIS ECI ALICANTE,3003
1597,STAND -- EXPERIS ECI CIUDAD DE ELCHE,3204
60,ALICANTE - CC Gran V�a,3015
61,FINESTRAT - CC La Marina,3509
67,ALCOY - CC Alzamora,3804
074b,BENIDORM - Valencia,3503
221,TORREVIEJA - CC Habaneras,3180
305,"GRUPO MOVIL CONECTATE, S.L",3001
121,"FRUVISA COMUNICACIONES, S.L",30000
155,"ANFITEL COMUNITEL, S.L",30840
407,"DITELE SPAIN, S.L.U",30009
428,"LUALBO, S.L",30400
439,CM PHONE ACCESORIES S.L.,30204
0503a,"GRUPO MOVIL CONECTATE, S.L",30500
555,"ANFITEL COMUNITEL, S.L",30850
557,"NG MOBILE, S.L.L",30510
0637a,"DITELE SPAIN, S.L.U",30110
0640a,SICOM TELECOMUNIC ALBACETE S.L,30110
733,CM PHONE ACCESORIES S.L.,30700
0737a,"DITELE SPAIN, S.L.U",30600
741,"LUALBO, S.L",30800
742,"FRUVISA COMUNICACIONES, S.L",30008
755,"LUALBO, S.L",30530
767,BFB SERV. Y COMUN. ALBACETE SL,30520
879,"LUALBO, S.L",30880
0902a,"DITELE SPAIN, S.L.U",30204
903,"DITELE SPAIN, S.L.U",30360
958,TRETELCO LORCA S.L.,30800
1077,"SOCIPHONE, S.L.",30740
1537,STAND -- EXPERIS ECI SALCILLO,30005
1550,STAND -- EXPERIS ECI SALCILLO II,30005
1553,STAND -- EXPERIS ECI CARTAGENA,30205
1558,STAND -- EXPERIS ECI CARTAGENA II,30205
59,MURCIA - Plater�a,30001
165,SAN JAVIER - CC Dos Mares,30730
179,MAZARR�N - CC Piramide,30860
183,LORCA - Juan Carlos I,30800
234,ALCANTARILLA - Mayor,30820
238a,MOLINA DE SEGURA - Estaci�n,30500
57,Murcia,30008
285,"GRUPO MOVIL CONECTATE, S.L",2001
400,"NG MOBILE, S.L.L",2005
485,"NG MOBILE, S.L.L",2600
788,"LUALBO, S.L",2005
790,"LUALBO, S.L",2640
995,SEMATEL SERVICIOS DE TELEFONIA,2003
1005,SEMATEL SERVICIOS DE TELEFONIA,2400
1016,SEMATEL SERVICIOS DE TELEFONIA,2600
1018,SEMATEL SERVICIOS DE TELEFONIA,2630
1593,STAND -- EXPERIS ECI ALBACETE,2002
34,Oviedo,33005
58,Santander Monasterio,39010
136,VITORIA - Independencia,1004
112,OVIEDO - CC Los Prados,33011
118,OVIEDO - Fray Ceferino,33001
175,AVIL�S - CC El Atrio,33400
176,GIJ�N - Los Moros,33206
275,Gijon,33209
199,DONOSTIA - CC La Garbera,20015
208,ARRASATE - Maalako Errabala,20500
127a,PAMPLONA - Sancho el Mayor,31002
186a,PAMPLONA - CC La Morea,31191
265,Bilbao Buenos Aires,48011
70,LEONESA DE COMUNICACIONES INTEGRALES S.A.,24400
71,LEONESA DE COMUNICACIONES INTEGRALES S.A.,49600
72,LEONESA DE COMUNICACIONES INTEGRALES S.A.,24002
0115b,"TECTELCOM, S.L.",33710
0122a,"AUSARTA MEDIA, S.L.",39600
136,TOLOSATEL,20400
150,FORMAC SISTE DEL PRINCIPADO SL,33013
157,"JOSE MARIA CANAL ALVAREZ, S.L.",24005
164,TODO EN NUEVAS TECNOLOGIAS S.L,31600
187,"MOREIRA FUEYO, S.L",33013
199,"IRAOLA COMUNICACIONES, S.L",20160
222,"SPIRAL NARCEA, S.L",33800
236,"BAZAR CANARIAS DIGITAL, S.L",39500
258,FORMAC SISTE DEL PRINCIPADO SL,33001
261,"GRUPO LIDERTEL, S.L.",48012
262,"AUSARTA MEDIA, S.L.",48910
265,"AUSARTA MEDIA, S.L.",48980
267,"GRUPO LIDERTEL, S.L.",48920
268,"IRAOLA COMUNICACIONES, S.L",20302
269,"LUALBO, S.L",20800
286,"2004 REDCOM VIZCAYA, S.L",48010
289,FORMAC SISTE DEL PRINCIPADO SL,33900
290,"SPIRAL NARCEA, S.L",33870
291,"MOREIRA FUEYO, S.L",33213
292,"ZAITEL 500 , S.L.",48901
294,"ZAITEL 500 , S.L.",48014
301,FORMAC SISTE DEL PRINCIPADO SL,33420
324,"2004 REDCOM VIZCAYA, S.L",48993
343,"2004 REDCOM VIZCAYA, S.L",39700
0347a,"2004 REDCOM VIZCAYA, S.L",48100
350,VIRUM TELECOMUNICACIONES S.L.,39770
352,"FERNANDEZ GAYOSO,S.L.",1004
0353a,"2004 REDCOM VIZCAYA, S.L",1400
357,"2004 REDCOM VIZCAYA, S.L",48005
358,"2004 REDCOM VIZCAYA, S.L",39740
362,ORANGE MOBILE,39001
369,TELEFONIA DE NAVARRA,31014
0376a,"LUALBO, S.L",20011
379,"MOREIRA FUEYO, S.L",33940
388,"EASOVOX, S.L",20200
414,"GRUPO LIDERTEL, S.L.",48510
0420a,GRUPO LIDERTEL,1470
0471a,"AUSARTA MEDIA, S.L.",31620
488,"EASOVOX, S.L",20002
537,"EASOVOX, S.L",20008
538,"AUSARTA MEDIA, S.L.",48290
544,"AUSARTA MEDIA, S.L.",48260
597,"LUALBO, S.L",20212
601,RED LEVEL S.L,33206
605,LEONESA DE COMUNICACIONES INTEGRALES S.A.,24100
606,RED LEVEL S.L,33002
607,"EASOVOX, S.L",20730
621,TELEFONIA DE NAVARRA,31007
646,"AUSARTA MEDIA, S.L.",48370
668,"ZAITEL 500 , S.L.",48200
672,LEONESA DE COMUNICACIONES INTEGRALES S.A.,24300
673,FORMAC SISTE DEL PRINCIPADO SL,33510
682,"2004 REDCOM VIZCAYA, S.L",48960
757,"AUSARTA MEDIA, S.L.",48940
758,"EASOVOX, S.L",20700
769,"LUALBO, S.L",1012
807,"GRUPO LIDERTEL, S.L.",48950
808,"GRUPO LIDERTEL, S.L.",48990
810,"IRAOLA COMUNICACIONES, S.L",20120
811,"AUSARTA MEDIA, S.L.",48970
831,"GRUPO LIDERTEL, S.L.",48600
832,"GRUPO LIDERTEL, S.L.",48903
849,FORMAC SISTE DEL PRINCIPADO SL,33300
854,CRS CHANNEL SERVICIOS TELEF SL,39200
858,FORMAC SISTE DEL PRINCIPADO SL,24001
861,"AUSARTA MEDIA, S.L.",31013
862,"AUSARTA MEDIA, S.L.",31010
0863a,"AUSARTA MEDIA, S.L.",31011
864,"AUSARTA MEDIA, S.L.",31200
874,"EASOVOX, S.L",20570
892,LEONESA DE COMUNICACIONES INTEGRALES S.A.,24700
959,COMUNICACIONES URTEL S.L.,39300
982,"ZERO BAT TELEFONIA, S.L",20302
1001a,"LUALBO, S.L",33600
1075a,"IRAOLA COMUNICACIONES, S.L",20100
1290,CRS CHANNEL SERVICIOS TELEF SL,1015
1405,FORMAC SISTE DEL PRINCIPADO SL,24400
1416,"AUSARTA MEDIA, S.L.",31003
1447,"EUSKOMILENIO, S.L",31800
1460,"LUALBO, S.L",33401
1509,FORMAC SISTE DEL PRINCIPADO SL,24008
1513,"AUSARTA MEDIA, S.L.",39010
1514,"AUSARTA MEDIA, S.L.",39004
1563,STAND -- AJ CHANNEL 2013 - ECI PAMPLONA,31002
1564,STAND -- AJ CHANNEL 2013 - ECI GRAN V�A,48001
1565,STAND -- AJ CHANNEL 2013 - ECI VITORIA,1004
1576,STAND -- CRS CHANNEL TIENDAS ECI GIJ�N,33211
1578,STAND -- CRS CHANNEL ECI LE�N,24005
1580,STAND -- CRS CHANNEL ECI SANTANDER,39011
1584,STAND -- CRS CHANNEL ECI AVIL�S,33410
1587,STAND -- CRS CHANNEL ECI SALESAS,33001
1602,"EASOVOX, S.L",20400
1608,"AUSARTA MEDIA, S.L.",48300
1609,"AUSARTA MEDIA, S.L.",48940
1614,GRUPO LIDERTEL,48004
0017a,"SPAIN TIME, S.L.",35450
18,"SPAIN TIME, S.L.",35580
0021a,MEDEROS MOVITEN S.L.,35625
0203a,MEDEROS MOVITEN S.L.,35110
209,"GRUPO LIDERTEL, S.L.",35620
210,"GRUPO LIDERTEL, S.L.",35660
329,"SPAIN TIME, S.L.",35500
422,MEDEROS MOVITEN S.L.,35240
436,MEDEROS MOVITEN S.L.,35200
0456a,DIGITAL FONE COMUNICACION SLU,35110
473,MEDEROS MOVITEN S.L.,35008
533,"SPAIN TIME, S.L.",35110
0543a,"SPAIN TIME, S.L.",35400
738,"SPAIN TIME, S.L.",35220
875,"GRUPO LIDERTEL, S.L.",35007
1572,STAND -- EXPERIS ECI LAS PALMAS,35006
1574,STAND -- EXPERIS ECI SIETE PALMAS,35018
1601,MEDEROS MOVITEN S.L.,35600
1610,DIGITAL FONE- ARRECIFE,35500
1611,DIGITAL FONE- T�AS,35510
63,Las Palmas Arena,35002
002a,FOTOCINE - MASPALOMAS,35290
4,LAS PALMAS - CC La Ballena,35013
5,TELDE - Constituci�n,35200
233,LAS PALMAS - CC El Mirador,35220
278,LAS PALMAS - CC El Tablero,35314
306,"SPAIN TIME, S.L.",35010
307,"SPAIN TIME, S.L.",35019
0019a,"SPAIN TIME, S.L.",38003
80,MEDEROS MOVITEN S.L.,38350
81,MEDEROS MOVITEN S.L.,38006
82,MEDEROS MOVITEN S.L.,38670
83,MEDEROS MOVITEN S.L.,38660
84,MEDEROS MOVITEN S.L.,38260
85,MEDEROS MOVITEN S.L.,38350
151,INSTALACIONES ONICE S.L.,38760
167,DIGITAL FONE COMUNICACION SLU,38500
183,"CRIS MOVIL, S.L",38430
194,RAVAIOLI E HIJOS S.L.,38660
235,DIGITAL FONE COMUNICACION SLU,38005
271,DIGITAL FONE COMUNICACION SLU,38530
275,DIGITAL FONE COMUNICACION SLU,38530
276,"CRIS MOVIL, S.L",38410
277,INSTALACIONES ONICE S.L.,38720
278,RAVAIOLI E HIJOS S.L.,38611
279,RAVAIOLI E HIJOS S.L.,38631
302,"SPAIN TIME, S.L.",38300
372,"SPAIN TIME, S.L.",38005
402,"SPAIN TIME, S.L.",38007
498,MEDEROS MOVITEN S.L.,38300
501,"CRIS MOVIL, S.L",38687
0502a,DIGITAL FONE COMUNICACION SLU,38800
574,DIGITAL FONE COMUNICACION SLU,38639
1065,MEDEROS MOVITEN S.L.,38390
1071,"CRIS MOVIL, S.L",38400
46,Santa Cruz de Tenerife,38002
1573,STAND -- EXPERIS ECI TRES DE MAYO,38005
1456,MEDEROS MOVITEN S.L.,38204
1401,DIGITAL FONE COMUNICACION SLU,38626
1400,DIGITAL FONE COMUNICACION SLU,38900
7,ADEJE - CC Gran Sur,38679
164,TENERIFE - CC Carrefour A�aza,38111
204,LA LAGUNA - CC La Laguna Alcampo,38205
235a,LA LAGUNA - Carrera,38201
250,LOS CRISTIANOS - Suecia,38650
1837,GIRONA,17002
1871,PARC CENTRAL,43005
289,OLYMPIC,8005
303,RONDA,8007
304,MAREMAGNUM,8039
305,CASP,8010
2,HOTEL BAGU�S BARCELONA 5*,8002
3,HOTEL GRANADOS 83 BARCELONA 4S*,8008
4,GRAN DERBY HOTEL BARCELONA 4S*,8029
6,BALMES HOTE L BARCELONA 3*,8008
10,THE CAESAR LONDRES 4*,8000
11,BANKE HOTEL PARIS 4S*,8000
1,"LUALBO, S.L",8018
2,"LUALBO, S.L",8032
3,"LUALBO, S.L",8028
5,LAITEL 32,8003
32,COMUNICACIONES MOVILES DE MALL,7200
33,COMUNICACIONES MOVILES DE MALL,7100
34,COMUNICACIONES MOVILES DE MALL,7300
35,COMUNICACIONES MOVILES DE MALL,7004
36,COMUNICACIONES MOVILES DE MALL,7007
37,COMUNICACIONES MOVILES DE MALL,7500
38,COMUNICACIONES MOVILES DE MALL,7013
41,GRANOLLERS TELEFONIA S.L:,8400
42,GRANOLLERS TELEFONIA S.L.,8400
43,GRANOLLERS TELEFONIA S.L.,8400
66,MITEXNO S.L.,8019
68,MITEXNO S.L.,8240
69,MITEXNO S.L.,8028
87,TOTALCOM,8860
94,"REUS MOBILE PHONE, S",43202
0099a,"GRUPCOM RETAIL,  S.L.",43801
105,TDC 2000 COMUNCAC GLOBALES SRL,8100
110,DISTRIBUIDORA SERV. CEL.LULARS,17310
135,TELEFONIA DIGITAL SIGLO XXI SL,8950
0145a,"GRUPCOM RETAIL,  S.L.",8800
0149a,TECNOSITGES S.L.,8870
166,VALLS TELECOM 2000,43700
0168a,TDC 2000 COMUNCAC GLOBALES SRL,8913
208,"AIR MOVIL BALEAR, S.L",7620
217,"ANITEL 2000, S.L",8905
0219a,ONDAS SYSTEM S.L.,8222
224,"SISCOM MOVIL, S.L",7600
227,"HIGH SYSTEM TELECOM, S.L",8191
228,"C.U.P. TELECOMUNICACIONS, S.L.",17430
242,"AIR MOVIL BALEAR, S.L",7010
283,"SISCOM MOVIL, S.L",7420
0295a,"GRUPCOM RETAIL,  S.L.",17200
296,"GRUPCOM RETAIL,  S.L.",8301
297,"GRUPCOM RETAIL,  S.L.",17003
298,"GRUPCOM RETAIL,  S.L.",8302
306,"GRUPCOM RETAIL,  S.L.",17300
307,"GRUPCOM RETAIL,  S.L.",8560
336,"C.U.P. TELECOMUNICACIONS, S.L.",17480
342,CASAS COMUNICACIONS S.L.,8820
368,TELEFONIA DIGITAL SIGLO XXI SL,8830
394,"GRUPCOM RETAIL,  S.L.",8980
413,ONDAS SYSTEM S.L.,8902
418,"GRUPCOM RETAIL,  S.L.",17220
0457a,"GRUPCOM RETAIL,  S.L.",8206
0460a,ONDAS SYSTEM S.L.,25600
0461a,ONDAS SYSTEM S.L.,25230
481,TDC 2000 COMUNCAC GLOBALES SRL,8290
482,MITEXNO S.L.,8500
512,"COMUNICACIONES SEGUR , S.L",43820
514,ONDAS SYSTEM S.L.,8020
0518a,COMBERSA NUEVAS TECNOLOGIA S.L,8970
520,SERVICES OPTIMIZED FOR TELECOM,8640
521,SERVICES OPTIMIZED FOR TELECOM,8292
525,"AIR MOVIL BALEAR, S.L",7180
526,"AIR MOVIL BALEAR, S.L",7500
527,"GRUPCOM RETAIL,  S.L.",8440
528,"GRUPCOM RETAIL,  S.L.",17230
536,COMUNICACIONES MOVILES DE MALL,7703
539,"HIGH SYSTEM TELECOM, S.L",8015
550,"LUALBO, S.L",8016
553,"LUALBO, S.L",8031
554,"LUALBO, S.L",8850
611,MITEXNO S.L.,8750
650,"GRUPCOM RETAIL,  S.L.",17100
0663a,MITEXNO S.L.,8100
664,TDC 2000 COMUNCAC GLOBALES SRL,8191
685,"LUALBO, S.L",8011
694,"GRUPCOM RETAIL,  S.L.",8041
696,COMUNICACIONES MOVILES DE MALL,7500
744,"GRUPCOM RETAIL,  S.L.",25280
0750a,"GRUPCOM RETAIL,  S.L.",25700
760,ONDAS SYSTEM S.L.,8036
0820a,"LUALBO, S.L",8914
826,"GRUPCOM RETAIL,  S.L.",7760
835,"GRUPCOM RETAIL,  S.L.",8470
845,"GRUPCOM RETAIL,  S.L.",17500
847,"LUALBO, S.L",8330
871,MITEXNO S.L.,8940
876,ONDAS SYSTEM S.L.,8490
920,"GRUPO BONATEL, S.L.U.",25001
921,"GRUPO BONATEL, S.L.U.",43500
0922a,"GRUPO BONATEL, S.L.U.",43840
924,"GRUPCOM RETAIL,  S.L.",8700
0941a,GRANOLLERS TELEFON�A S.L.,8940
952,"SEMAT COMUNICACIONS, S.L.",25300
955,ONDAS SYSTEM S.L.,8025
957,ONDAS SYSTEM S.L.,8013
966,CASAS COMUNICACIONS S.L.,8840
